Requerimientos Funcionales	Evaluación
TDAs                              0.75
option		                    1
flow	                            1
flow-add-option                     1
chatbot	                            1
chatbot-add-flow                    1
system			            1
system-add-chatbot	            1
system-add-user		            1
system-login	                    1
system-logout		            1
system-talk-rec	                  0.25
system-talk-norec		  0.25
system-synthesis	           0.5
system-simulate			  0.25
